"color","id","mass_mg","percN","n15","perC","c13","plant_id","year"
"O","1-O",3.453,2.53,0.61,44.39,-33.71,"1",2016
"O","2-O",3.423,3.19,0.25,42.79,-35.29,"2",2016
"O","3-O",3.61,2.51,-0.58,40.76,-34.66,"3",2016
"O","4-O",3.253,2.91,1.15,43.22,-34.82,"4",2016
"O","5-O",3.833,2.73,0.53,42.36,-34.67,"5",2016
"O","6-O",3.596,3.02,-0.74,43.22,-35.05,"6",2016
"O","12-O",3.623,3.33,0.88,41.14,-36.84,"12",2016
"O","21-O",3.288,2.62,1.6,44.6,-34.28,"21",2016
"O","22-O",3.441,2.72,0.9,43.1,-33.93,"22",2016
"O","24-O",3.762,2.67,3.48,44.35,-34.51,"24",2016
"O","25-O",3.572,3.59,-0.23,45.91,-34.09,"25",2016
"O","26-O",3.613,3.02,-0.62,45.39,-34.11,"26",2016
"O","29-O",3.102,3.19,-0.55,44.51,-35.16,"29",2016
"O","30-O",3.6,3.42,0.49,44.42,-34.47,"30",2016
"O","65-O",3.633,3.4,-1.17,45.03,-34.64,"65",2016
"O","66-O",3.389,3.35,-0.07,48.23,-32.15,"66",2016
"O","70-O",3.778,3.39,0.38,42.04,-34.49,"70",2016
"O","71-O",3.364,3.19,-0.01,43.97,-33.93,"71",2016
"O","73-O",3.511,2.86,0.04,43.35,-32.62,"73",2016
"O","74-O",3.533,3.08,0.42,43.14,-33.09,"74",2016
"O","80-O",3.688,2.89,0.71,46.03,-32.5,"80",2016
"P","30-P",3.648,3.51,0.41,45.37,-34.43,"30",2016.5
"P","66-P",3.339,3.18,-0.07,47.97,-32.33,"66",2016.5
"P","70-P",3.291,3.53,0.14,43.59,-34.13,"70",2016.5
"P","71-P",3.367,3.49,-0.22,45.25,-33.93,"71",2016.5
"P","73-P",3.741,3.68,-0.34,43.45,-33.62,"73",2016.5
"P","74-P",3.733,3.39,0.79,44.49,-32.81,"74",2016.5
"P","79-P",3.369,2.84,0.68,47.59,-32.08,"79",2016.5
"W","1-W",3.339,3.27,2.19,44.98,-33.88,"1",2017
"W","2-W",3.706,3.22,0.51,43.67,-35.11,"2",2017
"W","3-W",3.684,4.06,0.93,45.24,-33.41,"3",2017
"W","4-W",3.31,3.52,1.31,43.76,-34.66,"4",2017
"W","5-W",3.722,3.12,1.21,44.78,-33.83,"5",2017
"W","6-W",3.375,3.33,0.76,44.48,-33.88,"6",2017
"W","12-W",3.636,2.77,0.48,43.84,-36.52,"12",2017
"W","21-W",3.411,3.13,0.77,44.94,-33.67,"21",2017
"W","22-W",3.671,2.68,1.67,51.08,-33.21,"22",2017
"W","24-W",3.498,2.87,0.95,44.17,-34.52,"24",2017
"W","25-W",3.645,3.3,0.86,45.46,-34,"25",2017
"W","26-W",3.629,3.28,0.14,42.71,-34.54,"26",2017
"W","29-W",3.573,3.23,0.15,45.3,-34.95,"29",2017
"W","30-W",3.758,3.43,1.32,46.83,-34.12,"30",2017
"W","65-W",3.507,3.13,-0.08,45.12,-34.37,"65",2017
"W","66-W",3.278,5.15,0.87,46.66,-31.1,"66",2017
"W","70-W",3.724,3.76,1.37,45.81,-33.26,"70",2017
"W","71-W",3.502,3.74,-0.34,46.19,-34.4,"71",2017
"W","73-W",3.751,3.82,0.58,44.02,-33.24,"73",2017
"W","74-W",3.564,3.01,1.31,44.86,-32.96,"74",2017
"W","75-W",3.359,2.18,0.59,44.51,-32.44,"75",2017
"W","77-W",3.76,3.33,0.36,46.69,-31.92,"77",2017
"W","78-W",3.556,2.68,0.97,48.24,-30.4,"78",2017
"W","79-W",3.77,3.09,0.56,45.84,-31.41,"79",2017
"W","80-W",3.604,3.25,0.17,46.51,-31.98,"80",2017
"Y","1-Y",3.675,2.96,0.5,44.03,-33.8,"1",2015
"Y","2-Y",3.331,2.4,-0.31,41.66,-34.8,"2",2015
"Y","5-Y",3.377,2.86,-0.5,42.03,-34.78,"5",2015
"Y","6-Y",3.482,2.93,0.1,42.91,-34.25,"6",2015
"Y","21-Y",3.458,2.69,0.48,44.32,-34.81,"21",2015
"Y","22-Y",3.621,2.77,0.98,44.82,-34.05,"22",2015
"Y","24-Y",3.354,2.66,0.42,41.31,-35.06,"24",2015
"Y","25-Y",3.394,3.39,0.38,43.32,-34.57,"25",2015
"Y","26-Y",3.377,2.64,-0.76,44.95,-34,"26",2015
"Y","30-Y",3.33,3.34,0.7,43.86,-34.38,"30",2015
"Y","65-Y",3.569,3.35,-0.55,43.6,-34.58,"65",2015
"Y","66-Y",3.642,2.79,-0.01,45.47,-32.04,"66",2015
"Y","71-Y",3.288,3.39,-0.18,42.48,-34.13,"71",2015
"Y","77-Y",3.339,3.23,1.16,48.27,-31.94,"77",2015
